Rank,Name,BW,S1,S2,S3,CJ1,CJ2,CJ3,TW,Ratio
5,Martirosyan Simon,130.21,195,200,205,240,250,255,450,3.455955764
7,Rubaiawi Ali Ammar,127.35,185,190,198,221,228,231,419,3.290145269
8,Lee Jae-Sang,135.8,170,175,175,227,241,241,416,3.063328424
6,Ziaziulin Eduard,144.58,200,201,201,230,240,243,431,2.981048554
3,Minasyan Gor,154.04,205,213,220,240,246,253,459,2.979745521
2,Varazdat Lalayan,155.2,205,212,217,242,248,255,460,2.963917526
17,Mao Sanele,132.66,170,175,180,210,217,220,385,2.902155887
19,Medina Alejandro,133.06,165,170,175,203,210,217,373,2.803246656
21,Lemus Calanche Gilberto Antonio,128.5,160,170,175,190,190,200,360,2.80155642
10,Seim Mart,146.87,175,180,185,225,225,232,405,2.757540682
11,Murakami Eishiro,146.27,176,181,185,220,225,231,401,2.741505435
20,Litvinov David,133.74,155,161,166,195,195,200,361,2.699267235
1,Talakhadze Lasha,177.37,208,215,220,245,253,260,473,2.666741839
24,Bouamr Bilal,126.6,150,156,157,180,186,190,336,2.654028436
22,Holme Ragnar,136.52,157,157,163,195,200,0,352,2.578376795
14,Toychyyev Hojamuhammet,151.7,175,180,181,215,215,215,390,2.570863546
4,Davoudi Ali,176.5,195,195,203,240,249,255,452,2.560906516
23,Alradhi Hassan Asaad,136.9,145,152,156,182,190,195,346,2.527392257
15,Coullet Anthony,154.25,160,165,165,205,215,222,387,2.5089141
13,Hanzenko Oleh,157.58,173,179,184,210,210,211,390,2.474933367
16,Wilkes Caine,156.32,165,170,175,203,211,216,386,2.469293756
25,Rajic Krizan,132.5,140,145,150,170,175,179,324,2.445283019
12,Turmanidze Bakari,165,176,181,185,214,220,221,399,2.418181818
18,Nagy Peter,159.96,162,168,168,205,213,219,381,2.381845461
27,Kagiso Bokang Alphius,117.16,120,120,0,145,0,0,265,2.261864117
9,Liti David,183.71,174,178,181,224,224,226,407,2.215448261
26,Turkmen Fazal Karim,151.72,130,135,140,170,175,178,318,2.095966254
28,Muratbyek Bakhbyergyen,122,105,108,111,133,138,142,246,2.016393443