Birthday,Date,Age,Event type,Location,Nation,BW,S1a,S2a,S3a,Place finish (S),CJ1a,CJ2a,CJ3a,Place finish (CJ),TW,PFT,Sincler ,S1s,S21s,S3s,CJ1s,CJ2s,CJ3s
7/10/1987,3/31/2024,36.75,XX,Phuket,THA,160.08,170,175,175,18,208,214,221,11,384,11,388.4,1,0,0,1,1,0
7/10/1987,12/4/2023,36.43,GP,Doha,QAT,158.62,168,171,180,8,203,213,218,6,384,7,388.8,1,1,0,1,1,0
7/10/1987,9/4/2023,36.18,WC,Riyadh,KSA,156.32,165,170,175,18,203,211,216,17,386,16,391.6,1,1,1,1,1,0
7/10/1987,7/24/2022,35.06,PAC,Bogota,COL,148.2,168,173,174,5,205,210,211,3,373,4,381.5,1,0,0,1,0,0
7/10/1987,7/23/2021,34.06,OG,Tokyo,JPN,151.15,173,178,180,12,212,217,224,8,390,9,397.6,1,0,0,1,1,0
7/10/1987,4/18/2021,33.80,PAC,Santo Domingo,DOM,151.05,170,175,176,2,205,212,219,2,388,2,395.6,1,1,1,1,1,0
7/10/1987,9/18/2019,32.21,WC,Pattaya,THA,146.25,175,181,187,15,215,222,227,18,403,16,407.4,1,1,0,1,1,0
7/10/1987,4/21/2019,31.80,PAC,Guatemala City,GUA,145.95,175,182,182,2,212,213,219,1,401,1,405.5,1,0,1,0,1,1
7/10/1987,11/1/2018,31.33,WC,Ashgabat,TKM,142.38,175,180,185,14,212,220,225,14,400,12,405.8,1,1,0,1,1,0
7/10/1987,5/12/2018,30.86,PAC,Santo Domingo,DOM,143.52,173,178,183,2,210,219,225,2,402,2,407.4,1,1,1,1,1,0
7/10/1987,7/20/2017,30.05,PAC,Miami,USA,149.96,170,175,178,3,209,215,219,1,394,1,397.2,1,1,0,1,1,1
7/10/1987,5/12/2017,29.86,USA,Chicago - IL,USA,149.13,169,175,180,1,208,218,218,1,387,1,390.4,1,0,0,1,0,1
7/10/1987,12/9/2016,29.44,USA,Orlando,USA,149.93,163,168,173,1,205,212,217,1,390,1,393.1,1,1,1,1,0,1
7/10/1987,6/6/2016,28.93,PAC,Cartagena,COL,147.8,170,177,177,2,215,215,236,2,385,2,388.6,1,0,0,0,1,0
7/10/1987,5/6/2016,28.84,USA,Salt Lake City - UT,USA,147.25,175,180,182,1,221,229,235,1,404,1,408,1,0,0,1,1,0
7/10/1987,11/20/2015,28.38,WC,Houston,USA,144.36,176,176,176,18,216,220,225,17,396,18,400.9,0,0,1,1,1,0
7/10/1987,8/13/2015,28.11,USA,Dallas TEX,USA,143.28,174,180,186,1,215,223,230,1,416,1,421.6,1,1,1,1,1,1
7/10/1987,3/5/2015,27.67,USA,"Columbus, OH",USA,147.95,170,175,180,1,213,220,223,1,400,1,403.8,1,1,1,1,1,0
7/10/1987,11/4/2014,27.34,WC,Almaty,KAZ,139.73,173,178,178,21,211,211,216,20,384,20,390.6,1,0,0,0,1,0
7/10/1987,7/18/2014,27.04,USA,Salt Lake City,USA,138.33,170,176,182,1,210,218,227,1,400,1,407.5,1,1,1,1,1,0
7/10/1987,5/26/2014,26.90,PAC,Santo Domingo,DOM,137.3,170,178,183,3,210,218,221,1,399,2,406.9,1,1,0,1,1,1
7/10/1987,10/20/2013,26.30,WC,Wroclaw,POL,133.8,168,173,174,17,210,217,217,14,378,15,387.3,1,0,0,1,0,0
7/10/1987,7/26/2013,26.06,USA,West Chester OH,USA,135.1,165,170,176,1,205,211,216,1,392,1,400.9,1,1,1,1,1,1
7/10/1987,3/5/2012,24.67,USA,Columbus Ohio,USA,120.26,162,168,168,1,195,203,203,7,363,3,380.3,1,0,1,1,0,0
7/10/1987,3/2/2012,24.66,USA,Columbus,USA,120.3,162,168,168,1,195,203,203,7,363,3,380.2,1,0,1,1,0,0
7/10/1987,2/29/2008,20.65,USA,Columbus,USA,129.96,150,156,160,2,188,193,197,2,353,2,361.7,1,1,0,1,1,1
7/10/1987,5/11/2007,19.85,USA,Schaumburg,USA,118.94,142,147,150,7,174,181,185,3,327,5,341.7,1,0,0,1,1,1
7/10/1987,3/9/2007,19.68,USA,Merrillville IN,USA,119.1,137,142,146,2,167,172,177,3,323,3,337.4,1,1,1,1,1,1
7/10/1987,3/10/2006,18.68,USA,Altamonte FL,USA,118.11,130,135,140,3,165,170,175,5,310,5,324.5,1,1,1,1,1,0
7/10/1987,4/1/2005,17.74,USA,Paul MN,USA,109.6,122.5,127.5,127.5,5,150,155,160,5,277.5,5,296.8,1,0,0,1,1,0
7/10/1987,2/13/2004,16.61,USA,Schaumburg IL,USA,101.7,102.5,107.5,110,8,125,130,135,9,237.5,8,256.7,1,1,0,1,1,0
,,,,,,,,,,6.322580645,,,,5.967741935,,,,,,,,,